call_uid,sound.files,selec,call_type,call_quality,cluster_unsup,p_contact,contact_thresh_pass
A150_250406_0178__35,A150_250406_0178.wav,35,contact-like,high,2,0.753208502041294,FALSE
A150_250406_0178__36,A150_250406_0178.wav,36,non-contact,medium,5,7.209460634901298e-5,FALSE
A150_250406_0178__37,A150_250406_0178.wav,37,contact-like,high,2,0.936649973199813,TRUE
A150_250406_0178__38,A150_250406_0178.wav,38,contact-like,high,2,0.968962023905332,TRUE
A150_250406_0178__39,A150_250406_0178.wav,39,contact-like,high,4,0.9735657335871527,TRUE
A150_250406_0178__40,A150_250406_0178.wav,40,contact-like,high,2,0.9557245092975637,TRUE
A150_250406_0178__41,A150_250406_0178.wav,41,contact-like,high,2,0.7408891104757565,FALSE
A150_250406_0178__42,A150_250406_0178.wav,42,contact-like,high,2,0.9612465318138436,TRUE
A150_250406_0178__43,A150_250406_0178.wav,43,contact-like,high,2,0.9031593081325903,TRUE
A150_250406_0178__44,A150_250406_0178.wav,44,contact-like,high,2,0.9110721890047556,TRUE
A150_250406_0178__45,A150_250406_0178.wav,45,contact-like,high,2,0.9380324441693683,TRUE
A150_250406_0178__46,A150_250406_0178.wav,46,contact-like,high,6,0.029003613618271137,FALSE
A150_250406_0178__47,A150_250406_0178.wav,47,non-contact,medium,1,1.2322020397958108e-73,FALSE
A150_250406_0178__48,A150_250406_0178.wav,48,non-contact,medium,1,4.701547039659535e-105,FALSE
A150_250406_0178__49,A150_250406_0178.wav,49,non-contact,medium,1,7.534792303041826e-95,FALSE
A150_250406_0178__50,A150_250406_0178.wav,50,contact-like,high,2,0.8323695853181029,TRUE
A150_250406_0178__51,A150_250406_0178.wav,51,contact-like,high,2,0.8097443464596616,TRUE
A150_250406_0178__52,A150_250406_0178.wav,52,contact-like,high,2,0.8780662136034533,TRUE
A150_250406_0178__53,A150_250406_0178.wav,53,contact-like,high,2,0.8381586871141474,TRUE
A150_250406_0178__55,A150_250406_0178.wav,55,non-contact,medium,1,1.6555451419330684e-97,FALSE
A150_250406_0178__56,A150_250406_0178.wav,56,non-contact,medium,1,1.0396540452575757e-93,FALSE
A150_250406_0178__57,A150_250406_0178.wav,57,non-contact,medium,1,1.5748104613270115e-63,FALSE
A150_250406_0178__58,A150_250406_0178.wav,58,non-contact,medium,1,2.0238807294042874e-84,FALSE
A150_250406_0178__59,A150_250406_0178.wav,59,non-contact,medium,1,1.7444876255997743e-94,FALSE
A150_250406_0178__60,A150_250406_0178.wav,60,non-contact,medium,1,9.870210301273003e-82,FALSE
A150_250406_0178__61,A150_250406_0178.wav,61,contact-like,high,2,0.9305843735663425,TRUE
A150_250406_0178__62,A150_250406_0178.wav,62,contact-like,high,3,0.9863697643641147,TRUE
A150_250406_0178__63,A150_250406_0178.wav,63,contact-like,high,4,0.9884529177283503,TRUE
A150_250406_0178__64,A150_250406_0178.wav,64,contact-like,high,4,0.978474935068423,TRUE
A150_250406_0178__65,A150_250406_0178.wav,65,contact-like,high,4,0.9886003520254525,TRUE
A150_250406_0178__66,A150_250406_0178.wav,66,contact-like,high,4,0.9874491853915053,TRUE
A150_250406_0178__67,A150_250406_0178.wav,67,contact-like,high,4,0.9952974934559198,TRUE
A150_250406_0178__68,A150_250406_0178.wav,68,contact-like,high,4,0.9957151751775509,TRUE
A150_250406_0178__69,A150_250406_0178.wav,69,contact-like,high,4,0.9958229516005024,TRUE
A150_250406_0178__70,A150_250406_0178.wav,70,contact-like,high,2,0.6488284544625237,FALSE
A150_250406_0178__71,A150_250406_0178.wav,71,contact-like,high,3,0.9590855543195322,TRUE
A150_250406_0178__72,A150_250406_0178.wav,72,contact-like,high,4,0.9599297817063241,TRUE
A150_250406_0178__73,A150_250406_0178.wav,73,contact-like,high,4,0.9897093369161597,TRUE
A150_250406_0178__74,A150_250406_0178.wav,74,contact-like,high,3,0.9773620393730469,TRUE
A150_250406_0178__75,A150_250406_0178.wav,75,contact-like,high,3,0.9789941917845726,TRUE
A150_250406_0178__76,A150_250406_0178.wav,76,contact-like,high,3,0.9836089358225475,TRUE
A150_250406_0178__77,A150_250406_0178.wav,77,contact-like,high,3,0.9260584034327669,TRUE
A150_250406_0178__78,A150_250406_0178.wav,78,contact-like,high,2,0.94733891352106,TRUE
A150_250406_0178__79,A150_250406_0178.wav,79,contact-like,high,3,0.9731458486025727,TRUE
A150_250406_0178__80,A150_250406_0178.wav,80,contact-like,high,2,0.967564193675198,TRUE
A150_250406_0178__81,A150_250406_0178.wav,81,contact-like,high,2,0.9528459007859306,TRUE
A150_250406_0178__82,A150_250406_0178.wav,82,contact-like,high,3,0.9788883194182917,TRUE
A150_250406_0178__83,A150_250406_0178.wav,83,contact-like,high,4,0.9897486845105642,TRUE
A150_250406_0178__84,A150_250406_0178.wav,84,contact-like,high,4,0.9909209134426348,TRUE
A150_250406_0178__85,A150_250406_0178.wav,85,contact-like,high,2,0.9850197193940791,TRUE
A150_250406_0178__86,A150_250406_0178.wav,86,contact-like,high,2,0.932555150869431,TRUE
A150_250406_0178__87,A150_250406_0178.wav,87,contact-like,high,2,0.594115463981922,FALSE
A150_250406_0178__88,A150_250406_0178.wav,88,contact-like,high,2,0.961907438712799,TRUE
A150_250406_0179__2,A150_250406_0179.wav,2,non-contact,medium,1,7.220350294410935e-35,FALSE
A150_250406_0179__3,A150_250406_0179.wav,3,contact-like,high,3,0.9786962489124841,TRUE
BB1156_250406_0188__1,BB1156_250406_0188.wav,1,non-contact,medium,1,1.1992007221135968e-110,FALSE
BB1156_250406_0188__2,BB1156_250406_0188.wav,2,non-contact,medium,1,7.776057818039508e-59,FALSE
BB1156_250406_0188__5,BB1156_250406_0188.wav,5,non-contact,medium,1,5.887178016193687e-35,FALSE
BB1156_250406_0188__6,BB1156_250406_0188.wav,6,non-contact,high,1,2.4240556500767658e-143,FALSE
BB1156_250406_0188__7,BB1156_250406_0188.wav,7,non-contact,high,1,2.0654222862179727e-51,FALSE
BB1156_250406_0188__8,BB1156_250406_0188.wav,8,non-contact,high,1,3.7142527279550546e-75,FALSE
BB1156_250406_0188__9,BB1156_250406_0188.wav,9,non-contact,high,1,2.7457289005138954e-11,FALSE
BB1156_250406_0188__10,BB1156_250406_0188.wav,10,non-contact,high,1,8.387883882620306e-114,FALSE
BB1156_250406_0188__11,BB1156_250406_0188.wav,11,contact-like,high,2,0.9759983223808646,TRUE
BB1156_250406_0188__12,BB1156_250406_0188.wav,12,contact-like,high,4,0.981170947476872,TRUE
BB1156_250406_0188__13,BB1156_250406_0188.wav,13,contact-like,high,4,0.9933593748374488,TRUE
BB1156_250406_0188__14,BB1156_250406_0188.wav,14,contact-like,high,4,0.9912856682624913,TRUE
BB1156_250406_0188__15,BB1156_250406_0188.wav,15,contact-like,high,4,0.9986864371714511,TRUE
